Speed,Distance,Obs Width,Obs Height,Obs Gap,Player Mode,Obs Above Ground,Action,Q Value
62,40,25,90,4,-1,0,nothing,-0.01043669162281781
62,40,25,90,4,-1,0,down,-0.00977899694068943
62,40,25,90,4,-1,0,release,-0.00015078252005689335
62,40,25,90,4,0,0,down,-0.010091589726993254
62,39,25,90,4,0,0,nothing,-0.0000017003558512213673
63,34,25,90,4,0,0,nothing,-0.00000392055684492251
63,29,25,90,4,0,0,down,-0.0009562663217330679
63,24,25,90,4,-1,0,nothing,-0.02608515500000001
63,20,25,90,4,-1,0,nothing,-0.20475500000000002
63,15,25,90,4,-1,0,down,-2.342795
62,40,25,90,5,0,0,up,-0.009511026977759698
62,40,25,90,5,2,0,down,-0.008960409153766098
62,40,25,90,5,1,0,nothing,-0.009446132278290078
62,40,25,90,5,1,0,down,-0.010012363642850122
62,40,25,90,5,-1,0,nothing,-0.010715183024303979
62,40,25,90,5,-1,0,up,-0.010724188635899004
62,40,25,90,5,-1,0,down,-0.009727191473249767
62,40,25,90,5,-1,0,release,-0.0004256927366462999
62,40,25,90,5,0,0,down,-0.01008277962655227
62,40,25,90,5,0,0,nothing,-0.00022422005443998658
62,39,25,90,5,-1,0,release,-0.00000246210373298231
63,34,25,90,5,0,0,up,-0.000029652220456553366
63,29,25,90,5,2,0,down,-0.0017195000000000003
63,24,25,90,5,1,0,nothing,-0.020619856770907212
63,20,25,90,5,1,0,down,-0.19377950000000002
63,15,25,90,5,-1,0,nothing,-3.587852317595
62,40,17,105,4,0,0,up,-0.01056123242740677
62,40,17,105,4,2,0,up,-0.008579076204031161
62,40,17,105,4,2,0,nothing,-0.009254295983322293
62,40,17,105,4,2,0,down,-0.011072985123253646
62,40,17,105,4,1,0,nothing,-0.008066830358586609
62,40,17,105,4,1,0,up,-0.010562906712650576
62,40,17,105,4,-1,0,down,-0.010264731267385925
62,40,17,105,4,-1,0,nothing,-0.010943243729253304
62,40,17,105,4,-1,0,release,-0.0003301703867637691
62,40,17,105,4,0,0,down,-0.009773891699795496
62,40,17,105,4,0,0,nothing,-0.0005371839385385929
63,36,17,105,4,0,0,down,-0.0000033198074203634485
63,31,17,105,4,-1,0,nothing,-0.0001220907407163189
63,26,17,105,4,-1,0,up,-0.005405000000000002
63,21,17,105,4,-1,0,up,-0.05295245000000001
63,17,17,105,4,-1,0,up,-0.23427950000000003
63,12,17,105,4,-1,0,nothing,-2.6085155
62,40,25,90,6,2,0,up,-0.0110316658282072
62,40,25,90,6,2,0,down,-0.009990199612049933
62,40,25,90,6,1,0,nothing,-0.010315341157178512
62,40,25,90,6,1,0,down,-0.009564079273947567
62,40,25,90,6,-1,0,up,-0.01068995055264687
62,40,25,90,6,-1,0,down,-0.009540273473509617
62,40,25,90,6,-1,0,nothing,-0.010530444030495441
62,40,25,90,6,-1,0,release,-0.00015845500179661822
62,40,25,90,6,0,0,down,-0.010181831563551673
62,40,25,90,6,0,0,nothing,-0.00012875497781112712
62,39,25,90,6,0,0,up,-0.000008192142235840231
63,34,25,90,6,2,0,down,-0.00015909498421566256
63,29,25,90,6,1,0,nothing,-0.00206845516147923
63,24,25,90,6,1,0,nothing,-0.02059931851849292
63,20,25,90,6,-1,0,nothing,-0.343094701955
63,15,25,90,6,-1,0,nothing,-3.9705443395267546
62,40,34,105,6,0,0,nothing,-0.00026305553672474754
62,40,34,105,6,-1,0,release,-0.00038888015162950477
62,40,34,105,6,2,0,nothing,-0.008702590518888607
62,37,34,105,6,2,0,nothing,-0.000004268077676718917
63,32,34,105,6,2,0,nothing,-0.00011403978362286421
63,27,34,105,6,2,0,nothing,-0.0006629514489496944
63,23,34,105,6,1,0,up,-0.009131696044436116
63,18,34,105,6,1,0,down,-0.1752305
63,13,34,105,6,1,0,release,-1.6519093291176299
63,8,34,105,6,1,0,nothing,-2.607270701552938
62,39,25,90,4,0,0,up,-0.000004284010452081644
63,34,25,90,4,2,0,nothing,-0.00004140666796179121
63,29,25,90,4,2,0,down,-0.0009500000000000002
63,24,25,90,4,1,0,release,-0.0044892225820299374
63,19,25,90,4,1,0,nothing,-0.095
63,15,25,90,4,1,0,down,-0.8541533003360053
62,40,25,90,5,2,0,nothing,-0.011000525053962606
62,40,25,90,5,2,0,up,-0.011088216068299378
62,40,25,90,5,1,0,up,-0.010750966375223247
62,39,25,90,5,1,0,nothing,-0.000007968283252443953
63,34,25,90,5,1,0,nothing,-0.00012728465178290792
63,29,25,90,5,0,0,down,-0.0008672978605959443
63,24,25,90,5,-1,0,release,-0.009138176501059032
63,19,25,90,5,0,0,down,-0.20475500000000002
63,15,25,90,5,-1,0,release,-3.43094701955
62,40,25,90,5,1,0,release,-0.010151566746616216
62,39,25,90,5,0,0,up,-0.0000035077562057549553
63,34,25,90,5,2,0,down,-0.00013550000000000004
63,29,25,90,5,1,0,nothing,-0.002990351411289274
63,24,25,90,5,1,0,up,-0.014291459674057417
63,20,25,90,5,-1,0,nothing,-0.3587852317595
63,15,25,90,5,-1,0,up,-3.7290670858354997
62,39,25,90,5,0,0,down,-0.000002942319170467593
63,34,25,90,5,-1,0,release,-0.00004516830970006572
63,29,25,90,5,0,0,nothing,-0.0007291345505361422
63,24,25,90,5,0,0,up,-0.0014817060370656868
63,20,25,90,5,2,0,up,-0.009106543119920485
63,15,25,90,5,2,0,nothing,-0.011008861638741232
63,10,25,90,5,2,0,nothing,0.10939298505141014
63,5,25,90,5,2,0,nothing,1.0950618541699606
63,0,25,90,5,1,0,down,0.6661187368629531
63,-4,25,90,5,1,0,nothing,-0.010242253988195251
63,40,17,105,4,1,0,nothing,-0.006261621643380086
63,40,17,105,4,-1,0,up,-0.009241165443643451
63,37,17,105,4,-1,0,nothing,-0.0000018050000000000005
63,32,17,105,4,-1,0,down,-0.0001635403481735278
63,28,17,105,4,-1,0,nothing,-0.0013550000000000003
63,23,17,105,4,-1,0,nothing,-0.02342795000000001
63,18,17,105,4,-1,0,down,-0.1355
63,13,17,105,4,-1,0,release,-2.04755
62,40,25,90,6,0,0,up,-0.01094116049491704
62,40,25,90,6,2,0,nothing,-0.010595649374312394
62,40,25,90,6,1,0,up,-0.009694525911056906
62,40,25,90,6,1,0,release,-0.009276545001413259
63,34,25,90,6,2,0,up,-0.00011518366125819172
63,29,25,90,6,2,0,up,-0.0007961682449364665
63,24,25,90,6,2,0,up,-0.0011176965233491223
63,20,25,90,6,2,0,down,-0.03430947019550001
63,15,25,90,6,1,0,nothing,-1.354396257687479
63,10,25,90,6,1,0,nothing,-2.2132901364554325
62,40,17,105,4,1,0,release,-0.009576269564855648
62,40,17,105,4,1,0,down,-0.010447762910703
62,40,17,105,4,-1,0,up,-0.01043981704444992
63,36,17,105,4,-1,0,nothing,-0.0000028430103494149118
63,31,17,105,4,-1,0,down,-0.00011240131743252949
63,26,17,105,4,-1,0,release,-0.0007157619888879191
63,21,17,105,4,0,0,up,-0.007653874415458733
63,16,17,105,4,2,0,down,-0.139597434089719
63,12,17,105,4,1,0,release,-1.6830499999999997
63,34,25,90,4,0,0,up,-0.00005972436234614358
63,29,25,90,4,2,0,nothing,-0.00017127548035514623
63,24,25,90,4,2,0,up,-0.0014197537294703359
63,20,25,90,4,2,0,down,-0.023693670500000007
63,15,25,90,4,1,0,release,-0.34466375493545004
63,10,25,90,4,1,0,up,-2.6178901192399047
63,5,25,90,4,1,0,down,-0.19600000011723276
62,40,34,105,6,1,0,down,-0.009395338238937763
62,37,34,105,6,0,0,down,-0.000006104566740973041
63,32,34,105,6,-1,0,release,-0.000014899832841954053
63,27,34,105,6,0,0,nothing,-0.0007699020633855178
63,22,34,105,6,0,0,down,-0.017195000000000005
63,18,34,105,6,-1,0,nothing,-0.28476639500000006
63,34,25,90,5,-1,0,nothing,-0.00011482600852194045
63,29,25,90,5,-1,0,nothing,-0.0034309470195500007
63,24,25,90,5,-1,0,up,-0.028476639500000008
63,20,25,90,5,-1,0,up,-0.26085155000000004
63,15,25,90,5,-1,0,down,-3.587852317595
63,36,17,105,4,0,0,up,-0.0000033847435507485177
63,31,17,105,4,2,0,down,-0.0005450000000000001
63,26,17,105,4,1,0,release,-0.0005000000000000001
63,21,17,105,4,1,0,down,-0.05450000000000001
63,16,17,105,4,-1,0,nothing,-1.7818295000000002
63,12,17,105,4,-1,0,down,-2.342795
