Speed,Time To Collision,Obs Width,Obs Gap,Player Mode,Obs Above Ground,Action,Q Value
20,50,5,2,2,0,jump,-0.415309669889143
20,47,5,2,2,0,do_nothing,-2.975052296762235
20,38,5,2,2,0,duck_on,-0.23420000000000002
20,29,5,2,1,0,duck_on,-0.2
20,19,5,2,-1,0,duck_off,-3.8
20,46,6,3,2,0,do_nothing,-2.021078
20,37,6,3,2,0,do_nothing,-0.21800000000000003
20,18,6,3,2,0,duck_on,-2
20,47,5,3,2,0,jump,-5.393953458785853
20,38,5,3,2,0,do_nothing,-1.81763673144788
20,29,5,3,2,0,duck_off,-1.9766716022
20,19,5,3,1,0,duck_on,-2.18
20,10,5,3,1,0,duck_off,-3.8
20,46,6,3,2,0,jump,-1.9934649233063912
20,37,6,3,2,0,jump,-1.8652844077901787
20,27,6,3,2,0,jump,-1.2612
20,18,6,3,1,0,duck_on,-0.2
20,8,6,3,1,0,duck_off,-0.6719545495049998
20,50,5,2,2,0,do_nothing,-2.1813468212903113
20,50,5,2,2,0,duck_off,-1.937200915010272
20,47,5,2,2,0,jump,-3.923540456330696
20,38,5,2,2,0,jump,-1.5365769615948013
20,29,5,2,2,0,do_nothing,5.106727406739603
20,19,5,2,1,0,duck_off,-0.2
20,10,5,2,1,0,duck_off,-2
20,48,3,2,2,0,duck_off,-2.156116550021495
20,20,3,2,2,0,duck_off,0
20,11,3,2,1,0,jump,0.49782000000000015
20,1,3,2,1,0,duck_on,-0.021800000000000007
20,30,5,2,-1,0,do_nothing,-0.020000000000000004
21,21,5,2,-1,0,duck_off,-0.2
21,11,5,2,2,0,do_nothing,-2
20,37,6,3,2,0,duck_on,-0.21800000000000003
20,28,6,3,1,0,duck_off,-0.2
20,18,6,3,2,0,duck_off,-2
20,47,5,2,2,0,duck_off,-5.228017929845283
20,29,5,2,2,0,duck_off,-1.696042823133112
20,19,5,2,2,0,jump,-1.2502
20,50,6,4,2,0,duck_on,-2.080214678
20,50,6,4,-1,0,duck_on,-0.022000000000000006
20,50,6,4,-1,0,jump,-0.018200000000000004
20,46,6,4,-1,0,duck_off,-0.0020000000000000005
20,37,6,4,2,0,duck_on,-0.020000000000000004
20,27,6,4,-1,0,duck_off,-0.2
20,18,6,4,2,0,do_nothing,-2
20,47,5,2,2,0,duck_on,-4.378173692420001
20,38,5,2,-1,0,do_nothing,-2.1962
20,29,5,2,-1,0,do_nothing,-0.2
20,50,3,1,2,0,duck_off,-0.23477220011311456
20,50,3,1,2,0,duck_on,-0.134035704548385
20,50,3,1,-1,0,do_nothing,-2
20,48,3,1,-1,0,duck_off,0
20,39,3,1,2,0,jump,0.11383553
20,30,3,1,2,0,do_nothing,-2.0141120000000003
20,20,3,1,2,0,jump,-0.00020000000000000006
20,11,3,1,1,0,duck_off,-0.0020000000000000005
20,1,3,1,1,0,do_nothing,-0.020000000000000004
20,21,5,2,2,0,do_nothing,-0.2
21,12,5,2,2,0,duck_on,-2
20,50,3,2,1,0,duck_on,-0.23834580162000002
20,39,3,2,-1,0,do_nothing,-2.0180000000000002
20,21,3,2,-1,0,do_nothing,-2
20,50,5,2,1,0,duck_off,-2.88090123951205
20,47,5,2,1,0,duck_off,-8.835116239571008
20,38,5,2,2,0,do_nothing,-0.18184119054458947
20,19,5,2,2,0,do_nothing,-0.9882827911675383
20,10,5,2,2,0,duck_off,-0.00020000000000000006
20,36,5,3,1,0,do_nothing,-0.020000000000000004
21,26,5,3,2,0,duck_on,-0.2
21,16,5,3,-1,0,do_nothing,-2
20,50,10,4,2,0,duck_off,-2.514926518263507
20,50,10,4,2,0,jump,-4.02715701899103
20,43,10,4,2,0,duck_off,-2.2120922
20,34,10,4,1,0,do_nothing,-0.020000000000000004
20,25,10,4,1,0,duck_on,-3.266300021078
20,15,10,4,-1,0,do_nothing,-2
20,38,5,3,2,0,jump,-1.9415300909418363
20,29,5,3,2,0,duck_on,2.492460623560655
20,50,10,3,2,0,do_nothing,-0.024339325862000005
20,50,10,3,2,0,duck_on,-2.03942
20,50,10,3,-1,0,jump,-0.018200000000000004
20,43,10,3,-1,0,jump,-0.0020000000000000005
20,34,10,3,-1,0,duck_on,-0.020000000000000004
20,25,10,3,-1,0,duck_on,-0.2
20,15,10,3,-1,0,duck_on,-2
20,19,5,2,2,0,duck_on,2.59419920993
20,10,5,2,1,0,do_nothing,3.3546173200203784
20,49,3,1,2,0,duck_off,-0.019878050000000005
20,40,3,1,2,0,jump,0.0005000000000000001
20,21,3,1,2,0,duck_on,0.165072
20,11,3,1,1,0,do_nothing,-1.568
20,2,3,1,-1,0,duck_off,-0.2
20,20,5,2,2,0,duck_off,-2
20,43,10,4,2,0,jump,-3.8190019956670183
20,34,10,4,2,0,duck_off,-1.8871572153022447
20,25,10,4,2,0,duck_off,-1.87897845962
20,15,10,4,1,0,do_nothing,0.37000000000000005
20,5,10,4,1,0,duck_off,-2
20,19,5,3,1,0,jump,-1.4120000000000001
20,10,5,3,1,0,do_nothing,-3.8
20,19,5,2,1,0,do_nothing,0.37005000000000005
20,10,5,2,1,0,jump,-0.7079999999999999
20,48,3,1,2,0,jump,-2.0001800000000003
20,20,3,1,1,0,duck_on,-0.2
20,49,3,2,2,0,duck_off,-2.0001800000000003
20,39,3,2,2,0,duck_off,-0.14645666102403612
20,21,3,2,2,0,jump,-0.2
20,11,3,2,2,0,duck_on,-2
20,29,5,2,1,0,do_nothing,-0.2
20,19,5,2,-1,0,jump,-2
20,10,5,2,2,0,jump,3.230333818302
20,0,5,2,1,0,duck_on,-0.038000000000000006
20,31,5,2,1,0,duck_on,-0.2
21,21,5,2,-1,0,jump,-2
20,47,5,2,-1,0,duck_on,-5.421458000000001
20,38,5,2,-1,0,jump,-2.0180000000000002
20,29,5,2,-1,0,jump,0.8912505479999999
20,19,5,2,-1,0,do_nothing,-2
20,50,5,3,-1,0,jump,-2.5403858415702203
20,47,5,3,-1,0,duck_on,-3.963458
20,38,5,3,-1,0,do_nothing,-2.0180000000000002
20,29,5,3,-1,0,duck_on,-2.18
20,19,5,3,-1,0,duck_on,2.5843635360800006
20,50,3,1,-1,0,duck_off,-2.183239176953168
20,39,3,1,2,0,do_nothing,-2.178607205
20,30,3,1,2,0,jump,-1.22996340608
20,11,3,1,1,0,duck_on,1.639848
20,1,3,1,-1,0,do_nothing,-0.2
20,21,5,3,-1,0,duck_off,-2
20,19,5,3,1,0,duck_off,4.141479238260029
20,10,5,3,1,0,jump,2.8003092776922003
20,43,10,4,2,0,do_nothing,-2.210065722836932
20,34,10,4,2,0,duck_on,-0.32663001859031837
20,25,10,4,-1,0,duck_off,-0.2
20,15,10,4,2,0,do_nothing,-1.2500020003799999
20,50,5,3,1,0,jump,-2.3737845458
20,47,5,3,1,0,duck_off,-5.4345176705
20,19,5,3,2,0,duck_off,-1.9550000000000003
20,10,5,3,2,0,duck_off,3.431076546616074
20,0,5,3,1,0,duck_off,-0.0020000000000000005
20,38,6,3,1,0,duck_off,-0.020000000000000004
21,28,6,3,2,0,duck_on,-0.2
21,19,6,3,-1,0,duck_on,-2
20,19,5,2,1,0,jump,0.8830450000000001
20,10,5,2,1,0,duck_on,-2
20,30,6,3,1,0,duck_on,-0.2
21,20,6,3,-1,0,duck_on,-2
20,0,5,2,1,0,jump,-0.007152733
20,27,5,3,1,0,do_nothing,-0.2
21,18,5,3,2,0,duck_on,-2
20,48,3,2,2,0,duck_on,-0.2018
20,39,3,2,-1,0,duck_on,-0.020000000000000004
20,30,3,2,-1,0,duck_on,-0.2
20,21,3,2,-1,0,duck_off,-2
20,38,5,3,-1,0,jump,-0.21800000000000003
20,29,5,3,-1,0,do_nothing,-2.18
20,19,5,3,-1,0,do_nothing,-3.8
20,50,5,3,-1,0,duck_on,-0.6901029788997076
20,19,5,3,1,0,do_nothing,-1.171
20,0,5,2,1,0,do_nothing,-0.06878000000000002
20,32,5,3,1,0,duck_off,-0.2
21,22,5,3,2,0,duck_on,-2
20,48,3,2,2,0,do_nothing,-0.2018
20,39,3,2,2,0,duck_on,0.03730000000000001
20,30,3,2,-1,0,duck_off,-0.2
20,21,3,2,2,0,duck_on,-2
20,43,10,4,2,0,duck_on,-3.9778922000000003
20,34,10,4,-1,0,do_nothing,-0.020000000000000004
20,25,10,4,-1,0,do_nothing,-0.2
20,15,10,4,-1,0,duck_on,-2
20,50,5,3,1,0,duck_off,-0.7079628383141388
20,50,5,3,1,0,do_nothing,-0.4372710402042733
20,50,6,2,2,0,duck_off,-2.359715325221164
20,46,6,2,2,0,duck_off,-0.0020000000000000005
20,37,6,2,2,0,duck_on,-0.21800000000000003
20,27,6,2,-1,0,jump,-0.2
20,18,6,2,-1,0,duck_on,-2
20,42,10,4,2,0,duck_on,0.000050000000000000016
20,33,10,4,-1,0,duck_off,0.0004980000000000001
20,24,10,4,2,0,jump,0.004980000000000002
20,14,10,4,2,0,do_nothing,0.049800000000000004
20,5,10,4,2,0,do_nothing,0.9482
20,-5,10,4,1,0,duck_on,-0.020000000000000004
20,50,6,3,1,0,duck_off,-0.5421458
21,46,6,3,2,0,do_nothing,-0.0020000000000000005
21,37,6,3,2,0,duck_off,-0.020000000000000004
21,27,6,3,2,0,do_nothing,-0.2
21,18,6,3,2,0,jump,-2
20,49,3,2,2,0,do_nothing,-2.0179230516200004
20,39,3,2,2,0,do_nothing,-1.8402391733340804
20,30,3,2,2,0,jump,-1.9330865312685503
20,21,3,2,2,0,duck_off,0.16980420000000002
20,11,3,2,2,0,jump,1.698042
20,1,3,2,1,0,jump,-0.020000000000000004
20,27,5,2,1,0,duck_on,-0.2
21,18,5,2,-1,0,duck_on,-3.8
20,50,3,2,-1,0,duck_on,-4.288669519152053
20,30,3,2,2,0,duck_on,2.3292606038272003
20,20,3,2,-1,0,duck_off,-2
20,29,5,3,-1,0,jump,-2.342
20,19,5,3,-1,0,jump,-2
20,50,6,3,-1,0,jump,-2.40643909262882
20,47,6,3,-1,0,duck_off,0.000050000000000000016
20,38,6,3,2,0,jump,0.005950000000000001
20,28,6,3,2,0,duck_off,0.005000000000000001
20,8,6,3,1,0,jump,2.5998614020000006
20,-1,6,3,1,0,jump,-0.00020000000000000006
20,41,10,4,2,0,jump,-0.0020000000000000005
20,31,10,4,2,0,duck_off,-0.020000000000000004
20,22,10,4,1,0,duck_off,-0.2
20,12,10,4,1,0,duck_on,-2
20,44,5,2,2,0,duck_on,-0.0020000000000000005
20,35,5,2,-1,0,duck_off,-0.020000000000000004
20,25,5,2,2,0,do_nothing,-0.2
20,15,5,2,2,0,do_nothing,-2
20,44,5,2,-1,0,do_nothing,-0.0020000000000000005
20,34,5,2,-1,0,do_nothing,-0.020000000000000004
20,24,5,2,-1,0,jump,-0.2
20,14,5,2,-1,0,do_nothing,-2
20,44,5,3,2,0,duck_off,-0.0020000000000000005
20,34,5,3,2,0,do_nothing,-2.0180000000000002
20,24,5,3,2,0,duck_on,-0.13
20,14,5,3,-1,0,do_nothing,-2
20,45,3,2,2,0,jump,0.008830000000000001
20,35,3,2,2,0,jump,-1.7614
20,25,3,2,2,0,duck_on,0.3698000000000001
20,15,3,2,1,0,do_nothing,-2
20,44,5,2,2,0,jump,0.006764500000000001
20,34,5,2,2,0,duck_off,-0.132
20,24,5,2,2,0,jump,-2
20,14,5,2,1,0,do_nothing,-0.00020000000000000006
20,5,5,2,1,0,duck_on,-0.021800000000000007
20,39,6,3,-1,0,do_nothing,-0.020000000000000004
20,29,6,3,-1,0,jump,-0.2
20,19,6,3,-1,0,jump,-2
20,44,5,2,2,0,duck_off,-0.038000000000000006
20,34,5,2,2,0,duck_on,-0.2
20,24,5,2,-1,0,duck_on,-2
20,50,10,3,2,0,duck_off,-0.230344244642
20,49,10,3,2,0,duck_on,-0.0020000000000000005
20,39,10,3,-1,0,duck_on,-0.020000000000000004
20,30,10,3,-1,0,jump,-0.2
20,20,10,3,-1,0,do_nothing,-2
20,43,5,3,1,0,duck_off,-0.020000000000000004
20,34,5,3,2,0,duck_on,-0.2
20,24,5,3,-1,0,duck_off,-3.8
20,43,6,3,2,0,duck_off,-0.21800000000000003
20,33,6,3,2,0,duck_off,-0.2
20,24,6,3,2,0,duck_on,-2
20,44,5,2,2,0,do_nothing,-0.020000000000000004
20,34,5,2,2,0,do_nothing,-0.2
20,24,5,2,2,0,duck_on,-3.8
20,45,3,2,2,0,do_nothing,-0.2018
20,35,3,2,2,0,do_nothing,0.037000000000000005
20,25,3,2,2,0,duck_off,0.36800000000000005
20,15,3,2,2,0,duck_off,-2
20,42,6,3,2,0,do_nothing,-0.020000000000000004
20,32,6,3,2,0,duck_off,-0.2
20,23,6,3,2,0,jump,-2
20,43,5,3,2,0,duck_off,-0.020000000000000004
20,34,5,3,2,0,duck_off,-0.125
20,24,5,3,2,0,jump,-2
20,50,5,2,-1,0,jump,-2.768899995654402
20,49,10,4,2,0,duck_on,-0.0020000000000000005
20,39,10,4,-1,0,do_nothing,-0.020000000000000004
20,30,10,4,-1,0,duck_on,-0.2
20,20,10,4,-1,0,do_nothing,-2
20,40,10,4,2,0,duck_on,-0.020000000000000004
20,30,10,4,-1,0,jump,-0.2
20,20,10,4,-1,0,duck_off,-2
20,46,3,1,2,0,jump,-0.0020000000000000005
20,36,3,1,2,0,duck_off,-0.020000000000000004
20,26,3,1,2,0,duck_off,-0.2
20,17,3,1,1,0,jump,-2
20,43,5,3,2,0,duck_on,-0.21800000000000003
20,34,5,3,-1,0,do_nothing,-0.2
20,43,5,2,2,0,jump,0.010155
20,34,5,2,2,0,jump,-1.893050345
20,24,5,2,2,0,do_nothing,-2
20,14,5,2,1,0,duck_on,-0.00020000000000000006
20,5,5,2,1,0,jump,-0.0020000000000000005
20,40,5,2,-1,0,do_nothing,-0.020000000000000004
20,31,5,2,-1,0,duck_off,-0.2
20,21,5,2,2,0,duck_on,-2
20,50,6,4,2,0,jump,-0.11050634200000002
20,50,6,4,1,0,do_nothing,-0.022000000000000006
20,50,6,4,-1,0,do_nothing,-0.020180000000000003
20,42,6,4,-1,0,duck_off,-0.020000000000000004
20,32,6,4,2,0,duck_on,-0.2
20,23,6,4,-1,0,duck_off,-2
20,45,5,2,2,0,jump,-0.020000000000000004
20,35,5,2,2,0,duck_on,-0.2
20,25,5,2,1,0,jump,-2
20,44,5,3,2,0,duck_on,-0.020000000000000004
20,34,5,3,-1,0,duck_on,-0.2
20,24,5,3,-1,0,do_nothing,-2
20,48,3,1,2,0,duck_on,-0.2018
20,39,3,1,-1,0,duck_on,-0.020000000000000004
20,30,3,1,-1,0,duck_on,-0.2
20,20,3,1,-1,0,duck_on,-2
20,20,3,2,1,0,jump,-0.2
20,11,3,2,1,0,duck_on,-1.5
20,34,5,3,1,0,duck_on,-0.2
21,24,5,3,-1,0,duck_off,-2
20,50,6,2,2,0,duck_on,-1.9209570862000003
20,50,6,2,1,0,duck_off,-0.23420000000000002
20,50,6,2,2,0,do_nothing,-0.4058647711275515
20,50,6,2,2,0,jump,-2.1206345958105097
20,46,6,2,2,0,duck_on,-0.021800000000000007
20,37,6,2,1,0,do_nothing,-0.020000000000000004
20,27,6,2,-1,0,duck_on,-0.2
20,18,6,2,-1,0,do_nothing,-2
20,38,5,3,-1,0,duck_on,-2.1962
20,19,5,3,-1,0,duck_off,-2
20,20,3,2,1,0,duck_on,1.085388
20,1,3,2,-1,0,do_nothing,-0.020000000000000004
20,32,5,2,-1,0,duck_off,-0.2
21,22,5,2,2,0,jump,-2
20,34,3,2,1,0,do_nothing,-0.2
21,25,3,2,-1,0,do_nothing,-2
20,1,3,2,1,0,duck_off,-0.2
20,23,5,2,1,0,duck_off,-2
20,27,6,3,2,0,duck_on,-0.38
20,18,6,3,1,0,jump,-2
20,34,10,4,2,0,do_nothing,-0.08395796782267058
20,25,10,4,2,0,do_nothing,-1.9914860000000003
20,15,10,4,1,0,duck_off,-1.9551800000000001
20,6,10,4,1,0,duck_off,2.337972039838
20,-4,10,4,2,0,duck_on,-0.020000000000000004
20,50,5,2,-1,0,do_nothing,-2.7012049394420057
21,48,5,2,-1,0,duck_on,-0.0020000000000000005
21,38,5,2,-1,0,jump,-0.020000000000000004
21,29,5,2,-1,0,jump,-0.2
21,19,5,2,-1,0,duck_off,-2
20,48,3,1,2,0,duck_off,-1.9661064005
20,20,3,1,2,0,duck_off,0.0732
20,11,3,1,2,0,jump,1.3992499999999999
20,1,3,1,1,0,jump,-2.18
20,23,5,3,1,0,duck_on,-2
20,1,3,2,2,0,jump,-1.9804815126589683
20,26,5,2,2,0,do_nothing,-1.9955000000000003
21,16,5,2,2,0,jump,0.049800000000000004
21,6,5,2,1,0,duck_off,0.49800000000000005
21,-3,5,2,1,0,duck_off,-0.020000000000000004
21,29,6,3,2,0,duck_on,-0.2
