velocity,distance,width,jumpVelocity,action,q_value
14,6,51,0,duck,3.04391583541
13,6,51,0,jump,3.642562518988565
12,6,51,0,duck,5.964641970993793
30,6,34,0,duck,-0.2096501505588589
30,6,34,0,do_nothing,0.9623024582372282
30,6,34,0,jump,-0.6123734148894366
30,6,34,-1,duck,-0.6836270939190601
30,6,34,-1,jump,-0.4253136036463494
30,6,34,-1,do_nothing,-0.6857174577113482
30,6,34,1,duck,0.8081649567572018
30,6,34,1,jump,-0.5300345648007063
30,6,34,1,do_nothing,-0.5302538932392212
28,6,34,1,duck,-0.048184922856955914
27,6,34,1,duck,0.9749761692551943
25,6,34,1,do_nothing,-0.0010000000000000009
23,6,34,1,duck,5.888795761637113
22,6,34,0,jump,0.07072434889597445
16,6,34,0,do_nothing,5.300948160334555
12,6,34,0,duck,5.6832809944600005
30,6,51,0,do_nothing,0.6038689818180427
30,6,51,0,duck,0.35564677387743104
30,6,51,0,jump,-0.5264176832232569
30,6,51,-1,jump,-0.632243976497225
30,6,51,-1,do_nothing,-0.6691539514046186
30,6,51,-1,duck,-0.6687782028491038
30,6,51,1,do_nothing,-0.3373933123134389
29,6,51,0,do_nothing,-0.02193860406817029
28,6,51,0,do_nothing,-0.047699821862185535
27,6,51,0,duck,-0.041308763761470774
26,6,51,0,do_nothing,-0.03512948610243505
21,6,51,0,jump,1.1086102397128523
16,6,51,0,jump,1.9781731247552088
30,3,17,1,duck,-0.22476329083629007
30,3,17,1,jump,-0.3606573107474903
30,3,17,1,do_nothing,-0.36108111641494545
29,3,17,0,jump,-0.027100000000000006
28,3,17,0,do_nothing,-0.019819000000000003
26,3,17,0,jump,-0.015920430462100003
25,3,17,0,do_nothing,-0.0000999999999999994
24,3,17,0,do_nothing,0.040756270420000004
23,3,17,0,do_nothing,0.05385918520000001
21,3,17,0,do_nothing,0.010000000000000002
20,3,17,0,jump,0.036910000000000005
19,3,17,-1,jump,1.0206581689
17,3,17,-1,jump,2.2196094856885002
16,3,17,-1,jump,3.222354268387
15,3,17,-1,do_nothing,3.6381361881150998
14,3,17,-1,duck,2.333887963453
12,3,17,-1,do_nothing,3.73085711353
11,3,17,-1,duck,2.8934105851
10,3,17,-1,duck,2.0202202171
9,3,17,-1,duck,2.27272840129
7,3,17,-1,duck,2.8995247809999998
6,3,17,-1,jump,3.73295317078
5,3,17,-1,do_nothing,3.0569807539
3,3,17,1,duck,2.9941570000000004
2,3,17,1,do_nothing,4.031516710000001
1,3,17,1,jump,4.857474439000001
0,3,17,1,do_nothing,4.070761778453984
-2,3,17,1,do_nothing,-0.010000000000000002
27,5,25,1,duck,-0.05229046209637471
26,5,25,1,do_nothing,4.129605794818279
25,5,25,1,do_nothing,5.165018739900236
24,5,25,1,do_nothing,4.891781237243461
23,5,25,1,do_nothing,6.960320110686263
22,5,25,1,jump,7.087197721779002
18,5,25,1,duck,10.395091589293969
15,5,25,0,jump,3.3180163018689512
14,5,25,0,duck,5.2345042993459
13,5,25,0,duck,5.3295437753935975
12,5,25,0,do_nothing,5.529908192471774
29,6,34,0,do_nothing,1.0866217859735021
28,6,34,0,duck,-0.023481377910897345
27,6,34,0,jump,-0.026898384610000006
26,6,34,0,jump,-0.0091
19,6,34,0,duck,1.0600557703107212
29,4,17,0,jump,-0.019981000000000006
28,4,17,-1,duck,-0.038061369457706586
26,4,17,-1,jump,-0.024826940334473146
18,4,17,-1,jump,4.766802814722094
16,4,17,-1,jump,4.651691529498996
13,4,17,-1,jump,3.733800336966675
11,4,17,1,duck,13.262054821056049
10,4,17,1,duck,10.363268302608464
8,4,17,1,do_nothing,10.73377974853461
4,4,17,1,jump,10.718957498947024
-1,4,17,1,duck,-0.013546359100000002
28,5,25,-1,duck,-0.08269511975402823
27,5,25,-1,do_nothing,0.9556596430514295
26,5,25,-1,jump,-0.02243102880739198
21,5,25,-1,jump,3.2733582823977567
18,5,25,-1,do_nothing,0.010900000000000002
14,5,25,-1,duck,3.1096318791525537
9,5,25,1,duck,0.010900000000000002
4,5,25,1,jump,0.010900000000000002
-3,5,25,1,jump,-0.04841256009980964
30,4,25,1,duck,-0.32077862435905696
30,4,25,0,jump,-0.44282305479717965
30,4,25,0,do_nothing,0.7709265833702823
30,4,25,0,duck,0.4832786677264141
29,4,25,0,do_nothing,0.02775642581193917
27,4,25,0,duck,-0.028882117138769106
26,4,25,0,duck,-0.019801301541878896
25,4,25,0,jump,-0.010000000000000002
24,4,25,0,do_nothing,0.06733706354067949
22,4,25,0,jump,0.0508477236049171
21,4,25,0,do_nothing,2.03536751761
20,4,25,0,jump,3.00227822038
19,4,25,0,jump,2.9970286039
17,4,25,-1,do_nothing,0.9661555762168008
16,4,25,-1,do_nothing,1.0556332996430242
15,4,25,-1,do_nothing,1.0785240411344665
13,4,25,-1,duck,2.8605281862375307
12,4,25,-1,do_nothing,2.9008872887192867
11,4,25,-1,jump,2.0151337424962783
10,4,25,-1,do_nothing,2.0271367597384904
8,4,25,-1,do_nothing,2.252465939250428
7,4,25,-1,do_nothing,4.846011689570689
6,4,25,-1,duck,4.001231017970131
4,4,25,-1,duck,6.240117661023495
3,4,25,-1,do_nothing,3.22137901
2,4,25,-1,duck,4.815501177544939
1,4,25,1,duck,8.370016235350707
-1,4,25,1,jump,6.820156789948011
-2,4,25,1,jump,3.4236854989409182
-3,4,25,1,do_nothing,-0.02055771268763401
29,6,51,1,do_nothing,-0.06130336454474367
27,6,51,1,duck,-0.060676737950094935
26,6,51,1,duck,-0.04122123441855534
25,6,51,1,do_nothing,-0.010000000000000002
24,6,51,1,duck,2.1557445067807226
22,6,51,1,jump,2.1081269124753774
21,6,51,1,do_nothing,2.912184453744242
20,6,51,1,duck,4.128451944782771
19,6,51,1,jump,9.097076356542436
17,6,51,1,do_nothing,7.785920144617927
16,6,51,-1,do_nothing,1.2181014299439847
15,6,51,-1,do_nothing,2.126663547268023
13,6,51,-1,duck,1.6423038227328617
12,6,51,-1,duck,2.068013002322359
11,6,51,-1,do_nothing,2.047181375540342
10,6,51,-1,duck,2.045543909649779
8,6,51,-1,duck,2.207867053067459
7,6,51,-1,duck,1.3213796157205102
6,6,51,-1,jump,3.97581881676772
5,6,51,-1,duck,3.7867927077269146
3,6,51,-1,jump,1.0197010000000002
2,6,51,-1,duck,1.1936944345238714
1,6,51,-1,jump,2.0174428000000004
0,6,51,-1,duck,4.714873863526748
-1,6,51,1,do_nothing,11.56105315119635
-2,6,51,1,do_nothing,0.010000000000000002
-3,6,51,1,do_nothing,12.39133642847519
-4,6,51,1,do_nothing,14.319604876193548
-5,6,51,1,do_nothing,8.608893442480097
-7,6,51,1,duck,-0.020267928337167687
30,6,25,1,jump,-0.5014881805233425
30,6,25,1,do_nothing,0.27502219340856787
30,6,25,1,duck,-0.5017923972043954
30,6,25,-1,do_nothing,-0.6591911251813882
30,6,25,-1,jump,-0.6599422788607873
30,6,25,-1,duck,0.1414321523489282
29,6,25,-1,jump,-0.059133660497873115
28,6,25,-1,jump,1.104915583266577
27,6,25,-1,do_nothing,-0.054277957885929526
25,6,25,1,jump,-0.010000000000000002
24,6,25,1,jump,3.6071635719612285
23,6,25,1,jump,7.162645809782026
22,6,25,1,jump,6.5450590143692615
20,6,25,1,do_nothing,6.657108559367604
19,6,25,1,duck,8.693268565159547
18,6,25,1,jump,8.987194302060715
17,6,25,1,jump,11.722026832324085
16,6,25,1,jump,0.010000000000000002
15,6,25,1,duck,9.973247804861497
14,6,25,1,do_nothing,0.010000000000000002
13,6,25,1,do_nothing,12.955344563741571
11,6,25,1,do_nothing,13.793560324241032
29,3,17,1,duck,-0.0199
28,3,17,1,duck,0.981269461
26,3,17,1,jump,-0.010000000000000002
25,3,17,1,do_nothing,0.010000000000000002
24,3,17,1,do_nothing,2.10818787194701
22,3,17,1,duck,2.274863698423
21,3,17,0,jump,1.0307292391000002
19,3,17,0,jump,0.028081000000000002
17,3,17,0,jump,0.028810000000000002
16,3,17,0,duck,0.010000000000000002
15,3,17,0,jump,0.010000000000000002
14,3,17,0,jump,0.010000000000000002
