velocity,distance,width,jumpVelocity,action,q_value
6.5,37,25,-1,do_nothing,0.045463591000000005
6.5,31,25,-1,jump,0.027910000000000004
6.5,25,25,-1,jump,0.027910000000000004
6.5,25,25,-1,do_nothing,0.011791000000000003
6.5,19,25,-1,jump,0.027910000000000004
6.5,13,25,-1,jump,0.027910000000000004
6.5,7,25,-1,do_nothing,0.07952977501487192
6.5,1,25,-1,do_nothing,0.0878344772647232
6.5,-5,25,1,do_nothing,0.058519850599000015
6.5,-5,25,1,jump,1.0
6.5,-11,25,1,do_nothing,-0.010000000000000002
6.5,150,51,1,jump,-0.22326152178649333
6.5,150,51,1,do_nothing,-0.23765728565289626
6.5,150,51,-1,jump,-0.03410895509000001
6.5,150,51,-1,do_nothing,-0.04900995010000001
6.5,147,51,-1,do_nothing,0.027910000000000004
6.5,141,51,-1,do_nothing,0.027910000000000004
6.5,135,51,-1,jump,0.019000000000000003
6.5,129,51,-1,do_nothing,0.019000000000000003
6.5,123,51,-1,do_nothing,0.027910000000000004
6.5,117,51,-1,do_nothing,0.027910000000000004
6.5,111,51,-1,do_nothing,0.027910000000000004
6.5,105,51,-1,jump,0.019000000000000003
6.5,99,51,-1,jump,0.019000000000000003
6.5,93,51,1,jump,0.019000000000000003
6.5,87,51,1,jump,0.019000000000000003
6.5,81,51,1,jump,0.019000000000000003
6.5,75,51,1,jump,0.027910000000000004
6.5,69,51,1,jump,0.019000000000000003
6.5,63,51,1,jump,0.019000000000000003
6.5,57,51,1,do_nothing,0.04900995010000001
6.5,57,51,1,jump,0.010000000000000002
6.5,51,51,1,do_nothing,0.045463591000000005
6.5,45,51,1,jump,0.027910000000000004
6.5,39,51,1,jump,-9.991000000000001
