Speed,Time To Collision,Obs Gap,Obs Width,Is Jumping,Is Ducking,Obs Above Ground,Action,Q Value
12,30,6,2,0,1,0,duck_off,2.309031857246971
12,30,4,2,0,0,0,do_nothing,0.026181724021221153
12,29,4,2,0,1,0,duck_on,0.003822184224306351
12,29,5,2,1,0,0,jump,0.0038000000000000004
12,29,4,2,0,0,0,duck_off,0.002
12,30,6,2,0,1,0,jump,-0.09038513809582212
12,30,6,2,0,1,0,do_nothing,-0.09281385780703087
12,27,6,3,0,1,0,duck_off,0.0038000000000000004
12,29,5,2,0,0,0,duck_on,0.0038000000000000004
12,30,5,3,0,0,0,duck_off,0.018756528447553718
12,27,5,3,0,0,0,duck_on,0.0038000000000000004
12,30,6,5,0,0,0,do_nothing,0.02222372272637506
12,30,6,5,0,0,0,duck_on,-0.15875401338808143
12,30,4,1,0,0,0,do_nothing,0.022222222222222206
12,30,4,1,1,0,0,do_nothing,0.9050959630462899
12,21,4,1,1,0,0,jump,2.6946862917602004
12,11,4,1,1,0,0,duck_on,3.063127269978
12,1,4,1,1,0,0,jump,0.00544
12,28,4,2,0,1,0,duck_off,0.5018
12,30,6,5,0,1,0,duck_off,1.4854759785848866
12,25,6,5,1,0,0,duck_off,0.15951891410544927
12,30,4,2,0,0,0,duck_off,0.036184265579080506
12,25,6,5,1,0,0,duck_on,0.002
12,30,4,1,0,0,0,duck_on,-0.17650752162706934
12,30,4,1,0,1,0,duck_on,-0.020000000000000004
12,30,4,1,0,1,0,duck_off,0.28676393963757085
12,30,4,1,0,0,0,duck_off,0.022174080923136007
12,29,4,2,0,0,0,duck_on,0.0038000000000000004
12,19,5,2,1,0,0,jump,0.002
12,10,5,2,1,0,0,do_nothing,2.04755
12,0,5,2,1,0,0,jump,0.00202
12,29,6,5,1,0,0,do_nothing,0.002
12,19,6,5,1,0,0,jump,0.5018
12,10,6,5,1,0,0,duck_off,2.848156978541948
12,0,6,5,1,0,0,duck_on,-0.017398380960986143
12,25,5,2,1,0,0,duck_off,2.6422106297371473
12,25,6,5,0,0,0,duck_off,0.006878
12,30,6,2,0,0,0,duck_off,0.6894854955383724
12,30,5,3,1,0,0,duck_on,-0.13599462022757447
12,30,6,2,1,0,0,do_nothing,2.0142175162847806
12,29,6,2,0,1,0,jump,0.002
12,30,3,1,1,0,0,do_nothing,-0.0867353894657985
12,30,3,1,0,0,0,jump,-0.13857633495349603
12,30,3,1,1,0,0,duck_on,-0.13301605643835385
12,30,5,1,0,0,0,jump,-0.1455798937423689
12,30,5,1,1,0,0,duck_off,0.3850978533536613
12,30,5,1,1,0,0,duck_on,1.7178286612592264
12,30,5,1,1,0,0,jump,-0.13842114636539146
12,30,5,1,0,1,0,duck_off,0.021571976221648054
12,30,5,1,0,0,0,do_nothing,0.06932758063569275
12,29,6,2,0,1,0,duck_off,0.002
12,30,6,3,1,0,0,jump,0.1373865429225542
12,27,6,3,0,0,0,do_nothing,0.002
